AMZN,AMZN,AMZN,AMZN,AMZN,SPY,SPY,SPY,SPY,SPY,TSLA,TSLA,TSLA,TSLA,TSLA
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
1938.71,1975.2,1937.35,1952.2,3472937,286.98,288.7,286.71,287.56,51317994,260.25,268.35,252.2548,263.24,16242828
1970.43,1973.04,1931.5157,1941.81,3100576,288.76,289.04,287.88,288.09,32357518,273.26,286.03,271.0,285.46,11348654
1928.27,1988.88,1917.0,1987.61,2715087,287.37,289.55,286.975,289.11,36335994,279.31,282.0,273.55,279.43,6899938
1994.0,2000.0,1962.44,1990.07,2985582,289.06,289.8,288.23,289.16,46644377,281.44,292.5,278.6463,290.56,7594078
2000.0,2008.76,1982.0277,1990.0,3280352,290.32,291.0384,289.995,290.82,38536035,288.27,295.0,285.18,289.42,4758415
1991.75,1993.0,1959.22,1970.19,3440333,291.06,291.27,290.0,290.9,37322600,288.74,297.3256,286.52,295.11,5120958
1952.865,1956.82,1887.41,1908.03,6821963,290.82,290.86,289.03,289.34,43382137,290.04,300.87,288.13,294.79,5176019
1917.5,1958.2,1916.01,1941.59,3024558,289.57,291.58,289.55,290.9,38573521,296.3,302.64,275.5,284.93,12923352
1940.5,1940.83,1904.9,1926.28,2180429,290.97,291.69,290.825,291.25,34596543,280.77,300.0,280.5,299.04,6156658
1943.1663,1955.0,1932.25,1944.3,2921514,292.64,293.94,292.51,293.55,54097569,303.56,305.98,293.33,298.32,5573331
1953.51,1957.31,1910.5011,1915.01,5370017,293.09,293.22,291.81,292.01,45805544,297.7,300.58,295.37,299.01,3408179
1898.59,1936.88,1865.0,1934.35,3642637,291.34,291.5,290.37,291.07,37585070,298.48,302.9993,293.58,299.73,3638324
1942.9,1975.91,1938.85,1974.55,2766623,291.53,291.65,290.4833,290.7,30128907,300.0,304.6,296.5,301.05,3401297
1968.3,1995.25,1961.52,1974.85,3223351,290.92,292.24,289.41,289.84,53536102,301.65,313.89,301.1093,309.5664,5964409
1989.6,2016.1564,1989.5,2012.98,4055435,290.44,291.91,290.1,290.65,42099964,312.9,314.96,306.91,307.46,3303572
2009.6628,2026.52,1996.4648,2002.57,3243297,289.99,291.28,289.95,290.61,49399177,270.26,278.0,260.555,264.72,25167046
2021.0,2033.19,2003.6,2004.36,2232245,292.13,292.93,290.98,291.67,45685920,305.49,311.44,301.05,310.3446,15258287
2000.6014,2013.39,1965.77,1970.0,4012791,291.56,292.355,291.14,291.57,36043833,314.0,316.84,299.15,300.9,8518600
1981.69,1989.7,1949.81,1952.76,4713942,292.72,293.21,291.32,291.78,44874126,303.33,304.6,291.57,295.03,6300641
1949.0,1956.0,1896.57,1910.32,5137287,291.18,291.24,287.66,289.47,85200164,293.95,294.0,277.67,281.84,7147210
1917.99,1929.08,1862.83,1889.58,5545721,289.69,290.27,286.22,287.89,77118851,274.61,274.88,260.0,261.99,13362410
1870.585,1901.9962,1830.6627,1864.42,7061322,287.04,288.22,285.5,287.8,67482921,264.26,267.7599,249.0,250.54,9900147
1861.0,1896.6759,1852.32,1870.32,4496453,287.39,288.86,286.77,287.43,58656443,255.25,266.77,253.3,262.81,9143892
1855.5332,1857.0,1754.41,1755.25,10503319,286.83,286.91,277.88,278.17,151494009,264.61,265.51,247.77,256.89,9657608
1725.01,1754.0,1685.1,1719.36,11936763,277.08,278.9,270.36,272.25,202752125,257.53,262.25,249.03,252.33,6000952
1795.905,1806.26,1742.53,1788.61,6314157,276.77,277.09,272.37,276.01,130243220,260.98,261.99,252.01,259.15,5270938
1793.4,1794.8438,1734.23,1760.95,5859434,275.55,277.04,274.3,274.48,75385132,259.06,263.28,254.5367,259.56,4827381
1783.5,1823.88,1761.55,1820.15,5481724,276.57,280.82,276.07,280.3,75057478,265.7,277.375,262.24,276.54,6957925
1832.03,1837.9916,1807.0,1831.73,4860411,280.44,281.15,277.56,280.4,81740972,282.4,282.7,265.8032,271.8,6442088
1819.738,1830.15,1767.87,1770.72,5609484,279.4,280.07,274.97,276.47,106592503,269.29,271.0,263.0,263.95,3977473
1785.0,1809.1,1753.0,1764.03,6486965,277.12,279.3,275.47,276.19,86816021,267.39,269.66,253.5,260.04,7016215
1784.0,1809.4999,1756.0,1789.005,4236373,277.0,277.36,274.41,275.06,64990700,260.68,261.86,252.59,260.94,3968574
1742.24,1776.34,1714.0,1768.25,4808949,270.94,274.87,268.61,273.54,113790534,263.87,297.93,262.1,294.26,13890784
1773.7,1777.71,1656.56,1659.63,5002212,273.33,273.76,264.7,265.22,130172487,301.05,304.44,285.73,288.84,11916320
1703.34,1794.81,1692.0101,1782.0,8085683,267.37,271.81,266.23,270.14,97215770,317.22,321.0,301.01,314.81,15526936
1649.59,1698.46,1603.0,1638.28,11006965,265.92,271.0,262.29,265.29,161147868,308.25,339.9,306.65,330.63,21526599
1659.795,1665.7383,1495.0,1538.6078,10690836,268.78,270.25,259.85,263.8,120705901,337.47,347.16,326.5,336.79,11398720
1481.58,1540.99,1476.36,1530.42,9332567,263.67,268.12,263.12,267.81,122643325,328.39,337.8999,322.26,329.81,7257990
1569.11,1623.91,1565.09,1599.19,4602373,270.65,273.23,270.12,270.69,97427146,332.54,342.0,329.1,337.28,5723763
1623.53,1670.4465,1598.44,1665.86,7682121,271.62,273.73,270.38,273.51,72100016,338.26,347.84,334.725,344.12,6385290
1678.59,1697.44,1651.83,1665.58,6221611,274.74,275.23,269.59,271.8,93545041,343.74,349.2,340.91,346.45,6174655
1657.57,1658.09,1596.36,1627.45,5231856,272.44,274.01,271.35,273.38,55157537,340.5,343.955,330.14,341.27,7692268
1618.35,1665.0,1614.55,1642.86,4000487,273.32,275.3,273.25,275.12,49731823,339.07,348.8,336.09,341.06,6590767
1673.0,1759.23,1664.075,1757.36,7606948,277.56,281.1,275.1398,280.91,84960994,343.34,351.18,340.8,348.027,7426352
1752.89,1784.0,1725.11,1754.95,3299391,280.14,281.22,279.22,280.44,49392193,349.0,357.5755,348.44,351.29,5411948
1735.12,1743.9207,1701.87,1712.03,2962981,279.03,279.24,276.18,277.83,70577729,349.0,354.0,345.23,350.53,4012945
1699.67,1708.55,1630.01,1636.79,3229882,277.15,277.46,271.99,272.49,78678065,348.37,349.78,330.34,331.15,5557138
1649.29,1677.0638,1613.75,1631.445,2901917,273.09,275.325,271.25,272.06,78846402,333.16,344.7,332.2,338.61,3903430
1656.32,1672.9952,1597.07,1600.1,6052227,274.16,274.61,268.4499,270.13,113944238,342.7,347.11,337.15,344.15,4905646
1581.01,1624.82,1546.51,1620.0,7969198,268.78,273.54,267.0102,273.07,118131123,342.33,348.58,339.04,348.41,4458230
1587.5,1614.48,1573.12,1593.59,5789575,271.79,276.0,271.21,273.68,107341090,345.19,355.7,345.1201,354.29,7149187
1577.01,1581.19,1503.36,1512.7,7408605,273.05,273.6176,266.748,269.08,86509084,356.34,366.75,352.88,353.4801,9512859
1437.5,1534.75,1420.0,1495.46,10400723,265.36,269.1,263.15,264.18,121173305,341.75,349.8,333.55,347.73,7777405
1542.99,1550.0,1516.2,1516.4,5464027,265.86,267.15,264.2527,265.08,64743156,352.0,353.1,337.3995,338.16,4608419
1517.0,1536.2,1501.81,1502.08,2508385,263.18,265.0662,263.07,263.34,36245484,334.345,337.5,325.55,326.0,4047411
1539.0,1584.81,1524.22,1581.33,5901415,265.78,268.2909,263.3652,267.46,67385154,325.0,346.22,325.0,345.94,7715078
1575.99,1597.65,1558.01,1582.0,5417385,266.34,268.37,265.66,268.34,65180166,340.05,346.96,335.5,343.91,5982784
1613.92,1681.45,1601.215,1677.46,7904444,269.6,275.1,268.3272,274.5,111668695,345.99,348.28,342.21,347.87,3992192
1674.99,1692.37,1652.331,1672.94,6312746,273.71,275.55,272.43,273.93,69394238,347.0,347.5,339.55,341.17,3002799
1679.5,1696.0,1666.5,1691.55,5186801,273.81,279.11,273.45,275.78,80116769,341.83,351.6,338.2648,350.39,5361189
1769.46,1778.34,1730.0,1772.9,6403320,280.28,280.4,277.505,279.25,86242190,360.0,366.0,352.0,358.64,8040529
1756.0,1770.3383,1665.404,1668.64,8090560,278.37,279.2317,269.9,270.3,153458262,356.05,368.68,352.0,359.5934,8251172
1614.87,1700.0,1609.85,1700.0,8247065,265.92,270.3161,262.44,269.95,181383076,356.01,367.38,350.76,363.06,7709571
1705.07,1718.9261,1625.46,1629.11,7080944,269.46,271.22,262.63,263.64,140570663,369.0,379.49,357.65,357.8701,11198666
1623.84,1657.99,1590.87,1641.2,7179113,263.37,265.1613,258.62,264.07,143799899,360.0,365.98,353.12,365.14,6349458
1678.0,1679.4684,1619.6,1643.4,5802900,267.66,267.87,262.48,264.1,110983363,369.91,372.1689,360.23,366.69,6099449
1669.0,1704.99,1660.27,1663.13,6044555,267.47,269.0,264.0644,265.53,84864550,369.42,371.91,365.16,366.72,4889259
1680.0,1692.12,1641.5,1659.74,4979728,266.52,267.49,264.12,265.41,85184961,370.15,377.44,366.75,376.89,7093864
